brand,model,year,observations,sent_compound_mean,mpg_combined,mpg_city,mpg_hwy,cylinders,displ
acura,ilx,2013,12,0.10338333333333333,26.0,23.0,32.5,4.0,2.2
acura,ilx,2014,10,0.10347999999999999,26.0,23.0,32.5,4.0,2.2
acura,ilx,2015,8,0.19765,26.5,23.0,32.5,4.0,2.2
acura,ilxhybrid,2013,2,-0.07655,38.0,38.0,38.0,4.0,1.5
acura,ilxhybrid,2014,1,-0.5423,38.0,38.0,38.0,4.0,1.5
acura,rl,2012,6,0.5278333333333333,20.0,17.0,24.0,6.0,3.7
acura,rlx,2014,5,-0.006459999999999999,23.0,20.0,30.0,6.0,3.5
acura,rlx,2015,3,0.09026666666666666,23.0,20.0,30.0,6.0,3.5
acura,rlxhybrid,2014,2,-0.07535,30.0,28.0,31.0,6.0,3.5
acura,tlx,2015,12,0.037216666666666655,26.5,22.5,34.5,5.0,2.95
acura,tsx,2012,18,0.7089833333333333,23.666666666666668,20.666666666666668,29.333333333333332,4.0,2.4
acura,tsx,2013,12,0.71115,23.666666666666668,20.666666666666668,29.333333333333332,4.0,2.4
acura,tsx,2014,9,0.6351,23.666666666666668,20.666666666666668,29.333333333333332,4.0,2.4
toyota,avalon,2012,4,-0.1248,22.0,19.0,28.0,6.0,3.5
toyota,avalon,2013,8,-0.10312500000000001,24.5,21.0,30.0,6.0,3.5
toyota,avalon,2014,8,-0.13395,24.5,21.0,30.0,6.0,3.5
toyota,avalon,2015,2,0.0769,24.0,21.0,30.0,6.0,3.5
toyota,avalonhybrid,2013,3,-0.06206666666666668,40.0,40.0,39.0,4.0,2.5
toyota,avalonhybrid,2014,2,0.0769,40.0,40.0,39.0,4.0,2.5
toyota,avalonhybrid,2015,2,0.0769,40.0,40.0,39.0,4.0,2.5
toyota,camry,2012,4,0.02345,26.0,22.5,32.0,5.0,3.0
toyota,camry,2013,4,-0.28315,26.5,23.0,32.0,5.0,3.0
toyota,camry,2014,6,-0.3432,26.5,23.0,32.0,5.0,3.0
toyota,camry,2015,2,-0.8338,26.5,23.0,32.0,5.0,3.0
toyota,corolla,2012,10,0.15682000000000001,29.0,26.5,33.5,4.0,1.8
toyota,corolla,2013,10,0.26316,29.0,26.5,33.0,4.0,1.8
toyota,corolla,2014,8,-0.15710000000000002,31.25,28.25,36.0,4.0,1.8
toyota,corolla,2015,4,0.0258,31.0,28.0,36.0,4.0,1.8
toyota,matrix,2012,5,0.0258,25.2,22.6,29.0,4.0,2.4
toyota,matrix,2013,5,0.0258,25.2,22.6,29.0,4.0,2.4
toyota,prius,2012,6,0.23170000000000002,48.0,49.0,46.0,4.0,1.8
toyota,prius,2013,3,0.2729666666666667,48.0,49.0,46.0,4.0,1.8
toyota,prius,2014,3,0.2729666666666667,48.0,49.0,46.0,4.0,1.8
toyota,prius,2015,1,0.5106,48.0,50.0,46.0,4.0,1.8
toyota,priusc,2015,1,-0.9186,50.0,53.0,46.0,4.0,1.5
toyota,priuspluginhybrid,2012,2,0.2732,50.0,51.0,49.0,4.0,1.8
toyota,priuspluginhybrid,2013,1,0.2732,50.0,51.0,49.0,4.0,1.8
toyota,priuspluginhybrid,2014,1,0.2732,50.0,51.0,49.0,4.0,1.8
toyota,priuspluginhybrid,2015,1,0.2732,50.0,51.0,49.0,4.0,1.8
toyota,priusv,2012,4,0.25780000000000003,41.0,43.0,39.0,4.0,1.8
toyota,priusv,2013,3,0.25266666666666665,41.0,43.0,39.0,4.0,1.8
toyota,priusv,2014,4,0.06507500000000004,41.0,43.0,39.0,4.0,1.8
toyota,priusv,2015,2,-0.11224999999999996,41.0,43.0,39.0,4.0,1.8
toyota,rav4,2014,4,-0.040425,26.0,23.0,30.0,4.0,2.5
toyota,rav4,2015,4,-0.040425,26.0,23.0,30.0,4.0,2.5
toyota,venza,2012,8,0.1456,22.0,20.0,26.5,5.0,3.1
toyota,venza,2013,8,0.1456,22.0,19.5,26.0,5.0,3.1
toyota,venza,2014,2,-0.2023,22.0,19.5,26.0,5.0,3.1
toyota,venza,2015,2,-0.2023,22.0,19.5,26.0,5.0,3.1
toyota,yaris,2012,10,-0.13799999999999998,32.0,29.5,35.0,4.0,1.5
toyota,yaris,2013,2,-0.6249,32.5,30.0,35.5,4.0,1.5
toyota,yaris,2014,2,-0.6249,32.5,30.0,35.5,4.0,1.5
toyota,yaris,2015,8,-0.10650000000000001,32.5,30.0,35.5,4.0,1.5
