brand,model,year,campaign_number,component,summary,report_date,consequence,remedy,manufacturer,url,merge_key,mpg_city,mpg_hwy,mpg_combined,cylinders,displ,transmission,vehicle_class,co2_gpm,fuelType,text_len,sent_neg,sent_neu,sent_pos,sent_compound
toyota,avalon,2012,18V569000,AIR BAGS,"Toyota Motor Engineering & Manufacturing (Toyota) is recalling certain 2012 Toyota Avalon vehicles.  During a vehicle repair, the seat belt inner buckles may have been replaced with parts that may incorrectly tell the air bag management system that the seat belt is always buckled.",2018-08-29,"If the seat belt is falsely interpreted as being buckled, in the event of a crash, the air bags may not deploy appropriately, increasing the risk of injury.","Toyota will notify owners, and dealers will test the seat belt assembly to verify that it is properly detecting being unbuckled, replacing the inner seat belt assembly as necessary, free of charge.  The recall began September 19, 2018.  Owners may contact Toyota customer service at 1-888-270-9371.  Toyota's number for this recall is J0S.",Toyota Motor Engineering & Manufacturing,,toyota_avalon_2012,19,28,22,6.0,3.5,Automatic (S6),Large Cars,403.95454545454544,Regular,281,0.0,0.951,0.049,0.2732
toyota,avalon,2012,15V047000,ELECTRICAL SYSTEM,"Toyota Motor Engineering & Manufacturing (Toyota) is recalling certain model year 2011-2012 Toyota Avalon vehicles manufactured February 9, 2010, to October 22, 2012.  In the affected vehicles, the sub-woofer speaker located in the trunk may experience an intermittent electrical short which may cause damage to the integrated circuit (IC) in the audio amplifier. In some cases, the damaged IC may allow a constant electrical current flow to the sub-woofer.",2015-01-28,"A constant electrical current flow may cause the sub-woofer to overheat, increasing the risk of fire.","Toyota will notify owners, and dealers will replace the audio system amplifier and install a protective cover around the sub-woofer, free of charge. The recall began on July 1,2015. Owners may contact Toyota customer service at 1-888-270-9371.",Toyota Motor Engineering & Manufacturing,,toyota_avalon_2012,19,28,22,6.0,3.5,Automatic (S6),Large Cars,403.95454545454544,Regular,457,0.104,0.841,0.054,-0.5719
toyota,avalon,2012,13V442000,ELECTRICAL SYSTEM,"Toyota is recalling certain model year 2012-2013 Avalon, Avalon HV, Venza, Camry, and Camry HV vehicles.  In the affected vehicles, the drain hose for the air conditioning condenser may become clogged causing water to accumulate at the bottom of the air conditioning condenser unit housing.  The accumulated water may then leak through a seam in the housing onto the air bag control module potentially resulting in a short circuit of the module.",2013-10-17,A short circuit may cause the air bags to become disabled or inadvertently deploy.  An inadvertent airbag deployment can increase the risk of injury or the possibility of a crash.  An inoperative airbag can increase the risk of injury in a severe crash.  The power steering assist could also become inoperable resulting in increased steering effort and can increase the risk of a crash at low speeds.,"Toyota will notify owners, and dealers will seal the air conditioning condenser unit housing and install a protective cover on the airbag control module, free of charge.  The recall began on February 5, 2014.  Owners may contact Toyota at 1-800-331-4331.",Toyota Motor Engineering & Manufacturing,,toyota_avalon_2012,19,28,22,6.0,3.5,Automatic (S6),Large Cars,403.95454545454544,Regular,445,0.055,0.917,0.029,-0.2263
toyota,avalon,2012,20V024000,AIR BAGS: AIR BAG/RESTRAINT CONTROL MODULE,"Toyota Motor Engineering & Manufacturing  (Toyota) is recalling certain 2011-2019 Corolla, 2011-2013 Matrix, 2012-2018 Avalon, and 2013-2018 Avalon Hybrid vehicles.  During certain crashes, the air bag electronic control unit (ECU) may malfunction, possibly disabling the deployment of the air bags and/or seat belt pretensioners.",2020-01-17,"In the event of a crash, air bags and/or seat belt pretensioners that do not deploy as intended may increase the risk of injury.","Toyota will notify owners, and dealers will inspect the ECU and install a noise filter between the air bag control module and its wire harness, as necessary, free of charge.  Owners were notified of the safety risk beginning March 2, 2020.  A second letter notifying owners of the remedy repair will be mailed between March 16, 2020 and June 27, 2020.  Owners may contact Toyota customer service at 1-888-270-9371.  Toyota's numbers for this recall are 20TB03, 20TA03 and 20TA05.",Toyota Motor Engineering & Manufacturing,EA19001,toyota_avalon_2012,19,28,22,6.0,3.5,Automatic (S6),Large Cars,403.95454545454544,Regular,330,0.066,0.846,0.089,0.0258
toyota,camry,2012,13V014000,AIR BAGS:FRONTAL:SENSOR/CONTROL MODULE-INACTIVE,"Southeast Toyota Distributors, LLC (SET) is recalling certain models interspersed through model years 2009 through 2013 as follows: model year 2009-2012 Tacoma, 4Runner, Camry, Camry Hybrid, Prius, and RAV4; model year 2009-2010 Avalon, FJ Cruiser, and Highlander Hybrid; model year 2010-2013 model year Corolla, Sienna and Tundra; model year 2009-2013 Highlander and Venza; model year 2012 Prius V; and model year 2010-2012 Sequoia.  During modification by SET to include accessories such as leather seat covers, seat heaters or headrest DVD systems, these vehicles may not have had the passenger seat occupant sensing system calibration tested.  Without passing the calibration test, the occupant sensing system may not operate as designed.",2013-01-16,"If the front passenger seat occupant sensing system is out of calibration, the front passenger airbags may not deploy or they may deploy inappropriately for the passenger's size and position.  This could increase the risk of personal injury during the event of a vehicle crash necessitating airbag deployment.","Southeast Toyota will notify owners, and dealers will test the sensitivity of the occupant detection sensors, and recalibrate them as necessary.  The recall began on March 21, 2013.  Owners may contact Southeast Toyota at 1-800-301-6859.","Southeast Toyota Distributors, LLC",,toyota_camry_2012,24,34,28,4.0,2.5,Automatic (S6),Midsize Cars,317.3928571428572,Regular,742,0.0,0.981,0.019,0.2732
toyota,camry,2012,13V014000,AIR BAGS:FRONTAL:SENSOR/CONTROL MODULE-INACTIVE,"Southeast Toyota Distributors, LLC (SET) is recalling certain models interspersed through model years 2009 through 2013 as follows: model year 2009-2012 Tacoma, 4Runner, Camry, Camry Hybrid, Prius, and RAV4; model year 2009-2010 Avalon, FJ Cruiser, and Highlander Hybrid; model year 2010-2013 model year Corolla, Sienna and Tundra; model year 2009-2013 Highlander and Venza; model year 2012 Prius V; and model year 2010-2012 Sequoia.  During modification by SET to include accessories such as leather seat covers, seat heaters or headrest DVD systems, these vehicles may not have had the passenger seat occupant sensing system calibration tested.  Without passing the calibration test, the occupant sensing system may not operate as designed.",2013-01-16,"If the front passenger seat occupant sensing system is out of calibration, the front passenger airbags may not deploy or they may deploy inappropriately for the passenger's size and position.  This could increase the risk of personal injury during the event of a vehicle crash necessitating airbag deployment.","Southeast Toyota will notify owners, and dealers will test the sensitivity of the occupant detection sensors, and recalibrate them as necessary.  The recall began on March 21, 2013.  Owners may contact Southeast Toyota at 1-800-301-6859.","Southeast Toyota Distributors, LLC",,toyota_camry_2012,21,30,24,6.0,3.5,Automatic (S6),Midsize Cars,370.2916666666667,Regular,742,0.0,0.981,0.019,0.2732
toyota,camry,2012,13V442000,ELECTRICAL SYSTEM,"Toyota is recalling certain model year 2012-2013 Avalon, Avalon HV, Venza, Camry, and Camry HV vehicles.  In the affected vehicles, the drain hose for the air conditioning condenser may become clogged causing water to accumulate at the bottom of the air conditioning condenser unit housing.  The accumulated water may then leak through a seam in the housing onto the air bag control module potentially resulting in a short circuit of the module.",2013-10-17,A short circuit may cause the air bags to become disabled or inadvertently deploy.  An inadvertent airbag deployment can increase the risk of injury or the possibility of a crash.  An inoperative airbag can increase the risk of injury in a severe crash.  The power steering assist could also become inoperable resulting in increased steering effort and can increase the risk of a crash at low speeds.,"Toyota will notify owners, and dealers will seal the air conditioning condenser unit housing and install a protective cover on the airbag control module, free of charge.  The recall began on February 5, 2014.  Owners may contact Toyota at 1-800-331-4331.",Toyota Motor Engineering & Manufacturing,,toyota_camry_2012,24,34,28,4.0,2.5,Automatic (S6),Midsize Cars,317.3928571428572,Regular,445,0.055,0.917,0.029,-0.2263
toyota,camry,2012,13V442000,ELECTRICAL SYSTEM,"Toyota is recalling certain model year 2012-2013 Avalon, Avalon HV, Venza, Camry, and Camry HV vehicles.  In the affected vehicles, the drain hose for the air conditioning condenser may become clogged causing water to accumulate at the bottom of the air conditioning condenser unit housing.  The accumulated water may then leak through a seam in the housing onto the air bag control module potentially resulting in a short circuit of the module.",2013-10-17,A short circuit may cause the air bags to become disabled or inadvertently deploy.  An inadvertent airbag deployment can increase the risk of injury or the possibility of a crash.  An inoperative airbag can increase the risk of injury in a severe crash.  The power steering assist could also become inoperable resulting in increased steering effort and can increase the risk of a crash at low speeds.,"Toyota will notify owners, and dealers will seal the air conditioning condenser unit housing and install a protective cover on the airbag control module, free of charge.  The recall began on February 5, 2014.  Owners may contact Toyota at 1-800-331-4331.",Toyota Motor Engineering & Manufacturing,,toyota_camry_2012,21,30,24,6.0,3.5,Automatic (S6),Midsize Cars,370.2916666666667,Regular,445,0.055,0.917,0.029,-0.2263
toyota,corolla,2012,19V005000,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,"Toyota Motor Engineering & Manufacturing (Toyota) is recalling certain 2014-2016 Toyota 4Runner, 2014-2015 Scion xB, Lexus IS350C, IS250C, 2014 Toyota Sienna, Lexus IS-F, and 2014-2017 Lexus GX460 vehicles sold, or ever registered in the states of Alabama, California, Florida, Georgia, Hawaii, Louisiana, Mississippi, South Carolina, Texas, Puerto Rico, American Samoa, Guam, the Northern Mariana Islands (Saipan), and the U.S. Virgin Islands or ""Zone A.""   

Toyota is also recalling certain 2011-2013 Toyota Corolla, Corolla Matrix, Lexus IS250, IS350, 2011-2016 4Runner, 2011-2015 Scion xB, Lexus IS350C, IS250C, 2011-2014 Toyota Sienna, Lexus IS-F, 2011-2017 Lexus GX460, and 2011-2012 Lexus ES350 vehicles ever registered in the states of Arizona, Arkansas, Delaware, District of Columbia, Illinois, Indiana, Kansas, Kentucky, Maryland, Missouri, Nebraska, Nevada, New Jersey, New Mexico, North Carolina, Ohio, Oklahoma, Pennsylvania, Tennessee, Virginia, and West Virginia or ""Zone B.""  

Toyota is also recalling certain 2010-2013 Toyota Corolla, Corolla Matrix, Lexus IS350, 2010-2016 4Runner, 2010-2013 Lexus IS250, 2010-2015 Scion xB, Lexus IS350C, IS250C, 2010-2017 Lexus GX460, 2010-2014 Lexus IS-F, and 2010-2012 Lexus ES350 vehicles ever registered in the states of Alaska, Colorado, Connecticut, Idaho, Iowa, Maine, Massachusetts, Michigan, Minnesota, Montana, New Hampshire, New York, North Dakota, Oregon, Rhode Island, South Dakota, Utah, Vermont, Washington, Wisconsin, and Wyoming or ""Zone C.""   

These vehicles are equipped with air bag inflators assembled as part of the passenger frontal air bag modules, used as original equipment or replacement equipment (such as after a vehicle crash necessitating replacement of the original air bags), that may explode due to propellant degradation occurring after long-term exposure to high absolute humidity, temperature and temperature cycling.",2019-01-09,An inflator explosion may result in sharp metal fragments striking the driver or other occupants resulting in serious injury or death.,"Toyota will notify owners.  Depending on the vehicle model, dealers will replace the front passenger air bag inflator, or replace the air bag assembly.  The recall began February 15, 2019.  Owners may contact Toyota customer service at 1-800-331-4331. Toyota's numbers for this recall are ""Zone A"" Toyota: G0P, Lexus: GLG; ""Zone B"" Toyota: G0R, Lexus GLH; ""Zone C"" Toyota: H0A, and Lexus: HLA.",Toyota Motor Engineering & Manufacturing,EA15001,toyota_corolla_2012,26,34,29,4.0,1.8,Automatic 4-spd,Compact Cars,306.4482758620689,Regular,1917,0.023,0.937,0.04,0.4215
toyota,corolla,2012,19V005000,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,"Toyota Motor Engineering & Manufacturing (Toyota) is recalling certain 2014-2016 Toyota 4Runner, 2014-2015 Scion xB, Lexus IS350C, IS250C, 2014 Toyota Sienna, Lexus IS-F, and 2014-2017 Lexus GX460 vehicles sold, or ever registered in the states of Alabama, California, Florida, Georgia, Hawaii, Louisiana, Mississippi, South Carolina, Texas, Puerto Rico, American Samoa, Guam, the Northern Mariana Islands (Saipan), and the U.S. Virgin Islands or ""Zone A.""   

Toyota is also recalling certain 2011-2013 Toyota Corolla, Corolla Matrix, Lexus IS250, IS350, 2011-2016 4Runner, 2011-2015 Scion xB, Lexus IS350C, IS250C, 2011-2014 Toyota Sienna, Lexus IS-F, 2011-2017 Lexus GX460, and 2011-2012 Lexus ES350 vehicles ever registered in the states of Arizona, Arkansas, Delaware, District of Columbia, Illinois, Indiana, Kansas, Kentucky, Maryland, Missouri, Nebraska, Nevada, New Jersey, New Mexico, North Carolina, Ohio, Oklahoma, Pennsylvania, Tennessee, Virginia, and West Virginia or ""Zone B.""  

Toyota is also recalling certain 2010-2013 Toyota Corolla, Corolla Matrix, Lexus IS350, 2010-2016 4Runner, 2010-2013 Lexus IS250, 2010-2015 Scion xB, Lexus IS350C, IS250C, 2010-2017 Lexus GX460, 2010-2014 Lexus IS-F, and 2010-2012 Lexus ES350 vehicles ever registered in the states of Alaska, Colorado, Connecticut, Idaho, Iowa, Maine, Massachusetts, Michigan, Minnesota, Montana, New Hampshire, New York, North Dakota, Oregon, Rhode Island, South Dakota, Utah, Vermont, Washington, Wisconsin, and Wyoming or ""Zone C.""   

These vehicles are equipped with air bag inflators assembled as part of the passenger frontal air bag modules, used as original equipment or replacement equipment (such as after a vehicle crash necessitating replacement of the original air bags), that may explode due to propellant degradation occurring after long-term exposure to high absolute humidity, temperature and temperature cycling.",2019-01-09,An inflator explosion may result in sharp metal fragments striking the driver or other occupants resulting in serious injury or death.,"Toyota will notify owners.  Depending on the vehicle model, dealers will replace the front passenger air bag inflator, or replace the air bag assembly.  The recall began February 15, 2019.  Owners may contact Toyota customer service at 1-800-331-4331. Toyota's numbers for this recall are ""Zone A"" Toyota: G0P, Lexus: GLG; ""Zone B"" Toyota: G0R, Lexus GLH; ""Zone C"" Toyota: H0A, and Lexus: HLA.",Toyota Motor Engineering & Manufacturing,EA15001,toyota_corolla_2012,27,33,29,4.0,1.8,Manual 5-spd,Compact Cars,306.4482758620689,Regular,1917,0.023,0.937,0.04,0.4215
